k4,differences
0,0.11999999999999744
1,0.13999999999999702
2,0.1599999999999966
3,0.16999999999999638
4,0.18999999999999595
5,0.20999999999999552
6,0.2299999999999951
7,0.24999999999999467
8,0.26999999999999424
9,0.2899999999999938
10,0.3099999999999934
11,0.32999999999999297
12,0.34999999999999254
13,0.3599999999999923
14,0.3799999999999919
15,0.3899999999999917
16,0.40999999999999126
17,0.41999999999999105
18,0.42999999999999083
19,0.4499999999999904
20,0.4599999999999902
21,0.46999999999999
22,0.46999999999999
23,0.47999999999998977
24,0.48999999999998956
25,0.49999999999998934
26,0.49999999999998934
27,0.5099999999999891
28,0.5099999999999891
29,0.5099999999999891
30,0.5099999999999891
31,0.5099999999999891
